execution_id,execution_date,execution_status,stage_name,stage_order,stage_status,duration_seconds,records_in,records_out,records_failed,success_rate_pct,memory_usage_mb,cpu_usage_percent,error_count,warning_count,quality_score,validations_passed,validations_failed
d10ee3d8-7a88-410b-bccf-08b3410bde31,2026-02-19 01:00:37,completed,INGESTION,1,completed,0.399,0,60000,0,,,,0,0,,,
d10ee3d8-7a88-410b-bccf-08b3410bde31,2026-02-19 01:00:37,completed,VALIDATION,2,completed,16.192,60000,60000,0,100.00,,,0,0,94.87179487179486,74,4
d10ee3d8-7a88-410b-bccf-08b3410bde31,2026-02-19 01:00:37,completed,TRANSFORMATION,3,completed,0.048,58358,58358,0,100.00,,,0,0,,,
4052b4ce-c20e-43a3-ba36-f65ce444ac4f,2026-02-19 00:59:11,completed,INGESTION,1,completed,0.376,0,60000,0,,,,0,0,,,
4052b4ce-c20e-43a3-ba36-f65ce444ac4f,2026-02-19 00:59:11,completed,VALIDATION,2,completed,16.491,60000,60000,0,100.00,,,0,0,94.87179487179486,74,4
4052b4ce-c20e-43a3-ba36-f65ce444ac4f,2026-02-19 00:59:11,completed,TRANSFORMATION,3,completed,0.052,58358,58358,0,100.00,,,0,0,,,
bf441dba-d8bf-43ec-ae3f-8967a43d8ec7,2026-02-19 00:57:49,completed,INGESTION,1,completed,0.331,0,60000,0,,,,0,0,,,
bf441dba-d8bf-43ec-ae3f-8967a43d8ec7,2026-02-19 00:57:49,completed,VALIDATION,2,completed,16.158,60000,60000,0,100.00,,,0,0,93.58974358974359,73,5
bf441dba-d8bf-43ec-ae3f-8967a43d8ec7,2026-02-19 00:57:49,completed,TRANSFORMATION,3,completed,0.044,58358,58358,0,100.00,,,0,0,,,
0b316d33-a176-4ec4-a93e-6488ae02b29f,2026-02-19 00:54:10,completed,INGESTION,1,completed,0.666,0,60000,0,,,,0,0,,,
0b316d33-a176-4ec4-a93e-6488ae02b29f,2026-02-19 00:54:10,completed,VALIDATION,2,completed,36.201,60000,60000,0,100.00,,,0,0,94.87179487179486,74,4
