execution_id,pipeline_name,status,execution_type,triggered_by,environment,start_time,end_time,duration_seconds,records_processed,records_failed,quality_score,health_status,total_errors,total_warnings,report_path,executive_report_path
5019a128-187d-4407-a5e4-851e42dd758b,InfectedCustomerPipeline,running,manual,,development,2026-02-19 02:04:35,,,0,0,,,0,0,,
364d240a-99fa-4b6c-ae70-0b4e6c05a7f9,InfectedCustomerPipeline,running,manual,,development,2026-02-19 00:03:48,,,0,0,,,0,0,,
25a692ad-38ee-4902-9589-c879f9765a20,InfectedCustomerPipeline,running,manual,,development,2026-02-18 20:20:54,,,0,0,,,0,0,,
a68a7f8d-0fa4-4e7a-b42d-06ec90a7dba2,InfectedCustomerPipeline,running,manual,,development,2026-02-18 04:06:38,,,0,0,,,0,0,,
22f633d2-cb09-4d13-8055-14ecfc7f69aa,InfectedCustomerPipeline,failed,manual,,development,2026-02-18 00:00:13,2026-02-18 00:00:31,17.456,0,0,74.03,,0,0,,
ee8b6322-9fb2-45a0-8266-2fdf4e8d76a7,InfectedCustomerPipeline,completed,manual,,development,2026-02-18 00:00:05,2026-02-18 00:00:07,1.395,62500,0,,healthy,0,0,,
72a31d6f-4fd8-49ce-b990-67c0c955ffd8,InfectedCustomerPipeline,failed,manual,,development,2026-02-17 13:29:37,2026-02-17 13:29:56,18.565,0,0,74.03,,0,0,,
04331f00-fbd6-4e0c-921d-634bdd23a778,InfectedCustomerPipeline,completed,manual,,development,2026-02-17 13:29:28,2026-02-17 13:29:29,1.088,62500,0,,healthy,0,0,,
d98a2d35-a3f2-400f-a971-b5a9125c62ef,InfectedCustomerPipeline,failed,manual,,development,2026-02-17 00:00:14,2026-02-17 00:00:31,16.296,0,0,72.73,,0,0,,
d75e9ec4-2fac-4e70-a49c-4cd9c61df077,InfectedCustomerPipeline,completed,manual,,development,2026-02-17 00:00:07,2026-02-17 00:00:08,1.103,62500,0,,healthy,0,0,,
8d57790d-b794-4938-ac9e-6e033aac1045,InfectedCustomerPipeline,failed,manual,,development,2026-02-16 00:00:16,2026-02-16 00:00:32,16.345,0,0,72.37,,0,0,,
77fbc87a-789d-4475-bec7-544d6ace8eb7,InfectedCustomerPipeline,completed,manual,,development,2026-02-16 00:00:06,2026-02-16 00:00:08,1.749,62500,0,,healthy,0,0,,
d03faeb9-9706-46d3-881c-f75be696b77f,InfectedCustomerPipeline,failed,manual,,development,2026-02-15 22:49:40,2026-02-15 22:49:59,18.773,62500,0,71.05,,0,0,,
932f6d9b-9f81-46b4-a410-00ef52a2ce04,InfectedCustomerPipeline,failed,manual,,development,2026-02-15 22:27:02,2026-02-15 22:27:24,22.064,62500,0,72.37,,0,0,,
df921293-8267-48a5-9f9c-19e0e9434167,InfectedCustomerPipeline,failed,manual,,development,2026-02-15 20:50:55,2026-02-15 20:51:06,11.191,62500,0,73.68,,0,0,,
f1d93e5d-a06c-49ba-9830-b44fe340962a,InfectedCustomerPipeline,failed,manual,,development,2026-02-15 20:44:25,2026-02-15 20:44:37,11.648,62500,0,72.73,,0,0,,
